host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,8,3182,4.69,4.75,4.69,4.75,4.86,4.96,4.69,1,1125,2.72
Desconocido,f,t,Entire condo,Entire home/apt,t,0.9,1,4,3631,4.79,4.83,4.92,4.71,4.92,5,4.79,1,60,0.57
Desconocido,f,f,Private room in home,Private room,t,0.9,0.9,2,914,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,2,896,4.96,5,4.93,5,5,4.96,4.93,2,1125,0.67
within a few hours,f,t,Entire condo,Entire home/apt,f,1,1,6,1999,4.67,4.87,4.53,4.87,4.93,4.8,4.8,2,1125,0.34
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,3,800,4.93,4.98,4.84,5,5,5,4.9,3,1125,1.33
within an hour,t,t,Private room in home,Private room,f,1,1,1,271,4.93,5,4.71,5,5,5,5,1,1125,0.35
Desconocido,f,f,Entire rental unit,Entire home/apt,t,0.9,0.9,6,500,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,300,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.98,8,1906,4.73,4.74,4.61,4.77,4.91,4.88,4.65,3,1125,2.3
within an hour,f,t,Private room in serviced apartment,Private room,f,1,0.93,1,377,4.63,4.8,4.78,4.86,4.71,4.82,4.71,1,30,1.11
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,3,969,4.82,4.8,4.84,4.83,4.91,4.77,4.8,2,1125,1.1
within an hour,f,t,Entire condo,Entire home/apt,t,1,1,8,3714,4.46,4.61,4.64,4.56,4.58,4.85,4.58,1,1125,1.34
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,3,1041,4.81,4.92,4.91,4.78,4.84,4.95,4.82,2,1125,2
within an hour,f,t,Entire condo,Entire home/apt,t,1,1,4,714,4.73,4.84,4.85,4.89,4.86,4.93,4.8,1,1125,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,901,4.94,4.94,4.94,5,4.91,4.97,4.91,3,1125,0.74
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,5,2459,4.92,4.91,4.93,4.96,4.99,5,4.9,2,90,3.16
within an hour,f,t,Private room in rental unit,Private room,f,1,0,2,350,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,365,1.1
within a day,f,t,Entire home,Entire home/apt,f,1,0,5,1968,5,5,5,5,5,5,5,2,1125,0.09
within an hour,f,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,532,4.61,4.82,4.69,4.8,4.82,4.9,4.65,2,1125,4.16
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.99,2,507,4.88,4.92,4.97,4.92,4.85,4.85,4.84,2,60,2.04
a few days or more,f,t,Private room in rental unit,Private room,f,0,0,2,380,5,5,5,5,5,4.92,5,1,1125,0.28
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,1190,4.88,4.89,4.93,4.84,4.91,4.85,4.78,1,365,2.09
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.88,2,971,4.84,4.79,4.82,4.84,4.89,5,4.82,1,1125,0.99
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,6,1326,4.92,4.98,4.82,4.98,4.98,4.96,4.89,2,1125,1.96
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,5,1714,4.77,4.85,4.96,4.96,5,5,4.77,2,1125,0.59
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,1200,4.78,4.84,4.95,4.92,4.92,4.92,4.77,1,365,1.8
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,1088,4.84,4.83,4.95,4.84,4.9,4.88,4.78,1,365,1.32
within an hour,f,t,Entire guest suite,Entire home/apt,f,1,0.77,1,329,4.55,4.91,4.73,5,4.73,4.73,4.55,3,6,0.25
within an hour,f,t,Private room in home,Private room,t,1,1,2,390,4.67,4.81,4.67,4.88,4.89,4.68,4.63,2,90,1.75
Desconocido,f,t,Entire home,Entire home/apt,f,0.9,0.9,2,1437,5,5,5,5,5,5,5,2,1125,0.07
within an hour,f,t,Entire serviced apartment,Entire home/apt,f,1,1,6,1500,4.85,4.98,4.92,4.92,4.9,4.96,4.85,2,365,1.11
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0,4,2257,5,5,5,4.94,5,5,5,1,1125,0.37
within an hour,t,t,Entire rental unit,Entire home/apt,f,0.99,0.99,2,1061,4.91,4.88,4.8,4.86,4.95,4.89,4.75,1,365,1.49
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,2,1064,4.83,4.83,5,5,5,5,4.83,1,1125,0.15
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,559,4.7,4.8,4.76,4.98,4.89,4.95,4.69,2,60,2.71
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,4,899,5,5,5,5,5,5,5,1,1125,0.16
within an hour,t,t,Entire loft,Entire home/apt,f,1,1,2,2939,4.97,4.97,4.95,4.99,4.97,4.99,4.87,1,65,3.91
within an hour,t,t,Entire loft,Entire home/apt,f,1,0.98,2,303,4.62,4.92,4.78,4.97,4.92,4.92,4.65,2,21,0.88
Desconocido,f,t,Entire rental unit,Entire home/apt,f,0.9,0.9,6,817,4.75,4.75,5,5,4.75,5,4.75,3,90,0.09
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,5,773,4.68,4.85,4.58,4.81,4.82,4.95,4.69,2,1125,1.56
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.98,8,2224,4.68,4.71,4.71,4.84,4.9,4.7,4.59,3,1125,1.83
within a few hours,f,t,Entire rental unit,Entire home/apt,f,1,0,3,1000,4.7,4.8,4.7,4.8,4.8,4.8,4.7,3,30,1.1
within an hour,t,t,Private room in guest suite,Private room,f,1,1,1,210,4.86,4.86,4.86,5,5,5,4.79,2,1125,0.34
